"","date","type","planned_or_outtrun","budget_type","cash_values","real_values","deflator_index"
"67",2017,"fyear","outtrun","dhsc_tdel",125156,166203.1756148,1.32796810072869
"68",2017,"fyear","outtrun","cdel",5238,6955.8969116169,1.32796810072869
"69",2017,"fyear","outtrun","dhsc_rdel",119918,159247.278703184,1.32796810072869
"70",2017,"fyear","outtrun","nhse_rdel",109605,145551.943680368,1.32796810072869
"71",2017,"fyear","outtrun","pensions",0,0,1.32796810072869
"72",2017,"fyear","outtrun","nics",0,0,1.32796810072869
"73",2017,"fyear","outtrun","adjustments",0,0,1.32796810072869
"74",2017,"fyear","outtrun","other_rdel",10313,13695.335022815,1.32796810072869
"75",2017,"fyear","outtrun","dhsc_rdel_less_pensions",119918,159247.278703184,1.32796810072869
"76",2017,"fyear","outtrun","nhse_rdel_less_pensions",109605,145551.943680368,1.32796810072869
"77",2017,"fyear","outtrun","dhsc_tdel_less_pensions",125156,166203.1756148,1.32796810072869
"78",2016,"fyear","outtrun","dhsc_tdel",120584,162159.350316493,1.34478330720902
"79",2016,"fyear","outtrun","cdel",4556,6126.8327476443,1.34478330720902
"80",2016,"fyear","outtrun","dhsc_rdel",116028,156032.517568848,1.34478330720902
"81",2016,"fyear","outtrun","nhse_rdel",105735,142190.662987746,1.34478330720902
"82",2016,"fyear","outtrun","pensions",0,0,1.34478330720902
"83",2016,"fyear","outtrun","nics",0,0,1.34478330720902
"84",2016,"fyear","outtrun","adjustments",0,0,1.34478330720902
"85",2016,"fyear","outtrun","other_rdel",10293,13841.8545811025,1.34478330720902
"86",2016,"fyear","outtrun","dhsc_rdel_less_pensions",116028,156032.517568848,1.34478330720902
"87",2016,"fyear","outtrun","nhse_rdel_less_pensions",105735,142190.662987746,1.34478330720902
"88",2016,"fyear","outtrun","dhsc_tdel_less_pensions",120584,162159.350316493,1.34478330720902
"89",2015,"fyear","outtrun","dhsc_tdel",117245,160829.93919881,1.37174241288593
"90",2015,"fyear","outtrun","cdel",4652,6381.34570474532,1.37174241288593
"91",2015,"fyear","outtrun","dhsc_rdel",112592,154447.221751652,1.37174241288593
"92",2015,"fyear","outtrun","nhse_rdel",100572,137958.877948763,1.37174241288593
