sex,age,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122
Females,10,343941,337205,331693,331740,335916,329179,322828,319558,316251,307930,310933,296100,295813,297564,298800,299544,299984,300342,300666,300973,301288,301772,302478,303278,304163,305174,306332,307532,308672,309727,310697,311389,311721,311823,311748,311540,310802,309462,307956,306356,304732,303050,301317,299714,298345,297225,296275,295497,294939,294584,294432,294387,294415,294600,294912,295293,295722,296153,296578,297005,297399,297740,298013,298213,298322,298339,298261,298076,297785,297404,296938,296398,295799,295161,294505,293847,293213,292605,292047,291555,291124,290766,290481,290270,290130,290049,290035,290067,290128,290222,290336,290458,290578,290688,290776,290841,290872,290870,290830,290750,290628
Females,11,343683,346655,339410,333615,333376,337265,330244,323896,320629,317325,309008,312014,297183,296899,298650,299886,300631,301071,301428,301752,302060,302374,302859,303565,304364,305249,306260,307417,308617,309757,310812,311782,312475,312808,312909,312836,312628,311890,310551,309047,307448,305825,304144,302411,300809,299442,298323,297374,296595,296039,295684,295532,295487,295515,295701,296013,296394,296824,297255,297679,298106,298500,298842,299115,299315,299424,299441,299364,299179,298889,298508,298043,297503,296904,296266,295611,294954,294320,293713,293156,292664,292234,291875,291591,291380,291240,291159,291145,291177,291238,291333,291447,291570,291691,291801,291888,291954,291985,291983,291942,291863
Females,12,339745,346278,348763,341247,335182,334671,338287,331267,324923,321660,318358,310046,313053,298225,297942,299693,300930,301676,302115,302472,302796,303104,303418,303904,304610,305409,306293,307304,308460,309661,310800,311855,312825,313519,313852,313954,313882,313674,312937,311597,310095,308497,306875,305195,303462,301862,300498,299378,298430,297652,297096,296741,296588,296544,296572,296758,297071,297452,297882,298313,298737,299164,299559,299901,300174,300374,300483,300501,300424,300239,299950,299569,299103,298564,297966,297329,296675,296018,295385,294778,294221,293730,293299,292941,292658,292446,292306,292226,292213,292245,292306,292401,292515,292638,292759,292869,292957,293023,293053,293050,293010
Females,13,337221,342371,348443,350664,342885,336561,335788,339404,332386,326047,322787,319487,311180,314188,299363,299082,300833,302070,302817,303255,303612,303937,304244,304559,305045,305751,306549,307433,308444,309600,310800,311940,312996,313965,314660,314993,315095,315024,314817,314080,312741,311239,309643,308022,306343,304611,303013,301649,300530,299584,298806,298249,297895,297742,297698,297727,297914,298226,298607,299038,299468,299893,300320,300715,301056,301329,301529,301640,301658,301581,301397,301108,300726,300261,299723,299125,298491,297836,297180,296547,295941,295384,294893,294462,294104,293823,293610,293471,293391,293379,293411,293472,293567,293681,293804,293925,294035,294123,294190,294219,294216
Females,14,340444,340091,344802,350609,352565,344525,337941,337169,340786,333771,327436,324179,320881,312579,315588,300766,300487,302238,303475,304222,304660,305017,305343,305650,305965,306450,307156,307954,308838,309849,311005,312205,313345,314401,315370,316065,316399,316502,316430,316224,315488,314150,312649,311054,309434,307757,306026,304427,303066,301947,301002,300224,299668,299315,299162,299118,299148,299335,299646,300028,300458,300888,301313,301740,302135,302476,302749,302950,303061,303079,303003,302819,302530,302150,301684,301148,300551,299917,299262,298607,297975,297370,296813,296321,295890,295534,295253,295039,294901,294821,294810,294842,294903,294998,295112,295236,295356,295466,295554,295621,295650
Females,15,326783,343681,342887,347321,352849,354529,346214,339634,338863,342481,335469,329138,325883,322587,314288,317299,302480,302202,303953,305192,305938,306375,306733,307059,307367,307681,308166,308872,309671,310555,311565,312721,313921,315061,316117,317086,317782,318116,318219,318148,317943,317208,315869,314371,312776,311157,309481,307750,306153,304793,303674,302731,301952,301398,301044,300892,300848,300879,301065,301376,301758,302188,302619,303044,303471,303866,304206,304479,304681,304793,304811,304735,304552,304264,303882,303419,302884,302287,301654,300998,300344,299712,299107,298551,298059,297629,297274,296992,296779,296641,296561,296551,296583,296644,296739,296853,296976,297096,297206,297295,297362
Females,16,320332,330429,346867,345777,349914,355147,356531,348219,341643,340873,344491,337482,331154,327901,324608,316312,319325,304507,304232,305984,307223,307968,308406,308764,309090,309399,309712,310198,310904,311703,312586,313598,314753,315953,317093,318149,319119,319815,320148,320253,320182,319979,319242,317905,316409,314814,313197,311521,309790,308195,306836,305717,304775,303997,303442,303088,302938,302894,302925,303111,303422,303805,304235,304666,305092,305519,305913,306254,306527,306729,306841,306859,306784,306602,306313,305932,305470,304935,304339,303706,303051,302397,301764,301161,300606,300113,299685,299329,299048,298835,298697,298617,298607,298640,298702,298797,298911,299034,299154,299264,299353
Females,17,319237,324912,334449,350518,349064,352839,357706,359090,350783,344210,343441,347059,340054,333727,330476,327184,318893,321905,307091,306818,308569,309808,310554,310993,311350,311677,311986,312299,312785,313491,314290,315173,316186,317341,318541,319681,320738,321708,322403,322737,322843,322773,322570,321834,320498,319003,317408,315792,314117,312387,310794,309434,308316,307374,306596,306042,305689,305539,305495,305527,305713,306023,306407,306838,307269,307695,308122,308516,308858,309130,309332,309445,309464,309389,309208,308918,308538,308078,307541,306946,306314,305659,305005,304372,303770,303216,302724,302295,301939,301657,301446,301308,301227,301218,301253,301316,301411,301525,301647,301767,301877
Females,18,320850,327314,332053,340962,356402,354324,357476,362342,363728,355425,348855,348088,351707,344705,338381,335133,331841,323555,326568,311757,311485,313236,314475,315222,315659,316017,316343,316653,316966,317450,318157,318957,319840,320853,322009,323209,324348,325407,326376,327072,327406,327514,327444,327241,326507,325172,323677,322085,320468,318795,317065,315473,314113,312997,312055,311276,310725,310371,310220,310178,310209,310395,310706,311091,311521,311952,312379,312806,313200,313541,313815,314017,314130,314149,314076,313895,313605,313225,312765,312229,311636,311004,310349,309695,309062,308462,307908,307416,306987,306630,306349,306139,306000,305919,305912,305947,306009,306104,306218,306341,306461
Females,19,319276,335522,340464,344113,351906,366256,363087,366251,371104,372508,364205,357639,356879,360507,353504,347193,343952,340657,332378,335395,320599,320306,322053,323287,324027,324458,324811,325131,325437,325743,326225,326928,327725,328607,329619,330776,331977,333117,334179,335151,335850,336185,336296,336229,336028,335296,333963,332471,330880,329263,327592,325862,324269,322909,321792,320848,320068,319514,319158,319004,318960,318989,319173,319483,319866,320295,320725,321150,321578,321972,322314,322587,322791,322906,322925,322853,322673,322383,322005,321546,321011,320418,319787,319131,318477,317844,317244,316688,316196,315766,315408,315126,314914,314775,314693,314685,314718,314779,314875,314988,315110
